,0
Sb130m,5.688088989086576e-07
Sb131,4.347671794941691e-07
Sb132,5.919250129930053e-07
Sb132m,5.395487639193726e-07
Sb133,5.887243006495947e-07
Sb134,1.8624988081182684e-08
Sb135,1.8077933147827164e-07
Te113,4.2478170158877255e-07
Te114,2.6188143440932785e-07
Te115,4.7337163727988474e-07
Te115m,5.088818407141309e-07
Te116,2.446814592424608e-08
Te117,3.796734470064023e-07
Te117m,3.765556979223544e-08
Te118,7.307184743895089e-09
Te119,1.7006051320436503e-07
Te119m,3.6319414356880804e-07
Te121,1.1680983696584325e-07
Te121m,3.28750573848238e-08
Te123,1.5668437472104224e-11
Te123m,1.843747135167369e-08
Te125m,1.1826566734582863e-08
Te127,8.196272290080333e-10
Te127m,3.873210276690329e-09
Te129,1.2624028756811896e-08
Te129m,9.311813207042686e-09
Te131,8.54136645396649e-08
Te131m,3.351631642811658e-07
Te132,3.362589492663163e-08
Te133,2.759706321114539e-07
Te133m,4.3067654249530346e-07
Te134,1.6755516228933872e-07
Te135,9.181300463543578e-08
Te136,5.766330417152823e-07
I116,2.0176954031664462e-07
I117,1.81104150032316e-07
I118,4.109466461939117e-07
I118m,7.917657832671012e-07
I119,1.5978442542609098e-07
I120,4.962519215902187e-07
I120m,1.2362350910586355e-06
I121,6.726833884311214e-08
I122,1.881042519355154e-07
I123,2.493610932083021e-08
I124,2.5780110383792297e-07
I125,1.4437328032614827e-08
I126,8.721573121462453e-08
I128,1.5905115661269208e-08
I129,7.243102703773276e-09
I130,4.4715841106463475e-07
I130m,2.534175693357962e-08
I131,6.426891498256139e-08
I132,5.078621288412526e-07
I132m,7.12282488489632e-08
I133,1.2432011897159742e-07
I133m,3.5747385758505063e-07
I134,5.944470814661909e-07
I134m,3.7886546870641054e-08
I135,4.1375630591853773e-07
I136,6.657998081966272e-07
I136m,4.923297411433816e-07
I137,3.474226390796955e-07
I138,3.5390143753945547e-07
I139,1.5816604359394237e-07
Xe117,6.234841454697046e-08
Xe118,1.088486734713443e-07
Xe119,1.9424945732743517e-07
Xe120,8.794525228981214e-08
Xe121,3.368604633393019e-07
Xe122,1.4553916876601619e-08
Xe123,1.3377192132782295e-07
Xe125,4.441131647934766e-08
Xe125m,1.4887919904258284e-08
Xe127,4.068884931736086e-08
Xe127m,2.0123018809088426e-08
Xe129m,1.3798797575453015e-08
